,rut,nombre,Q (m3/s),flag
1976-07-21,01001001-2,RIO CAQUENA EN NACIMIENTO,0.501,     
1969-11-27,01001002-0,RIO CAQUENA EN VERTEDERO,0.437,     
1988-06-16,01001003-9,RIO COLPACAGUA EN DESEMBOCADURA,0.194,     
1963-06-20,01010002-K,RIO CHUNGARA EN DESEMBOCADURA,0.151,     
1964-12-07,01020002-4,RIO DESAGUADERO COTACOTANI,0.226,     
1937-02-06,01020003-2,RIO LAUCA EN ESTANCIA EL LAGO,3.37,     
1984-12-01,01020004-0,"CANAL LAUCA EN SIFON N"" 1 (Km. 3.3)",1.17,     
2018-10-04,01020020-2,CANAL LAUCA EN CHUCUYO KM 0 (DOH),0.654,     
1963-04-11,01021001-1,RIO LAUCA EN JAPU (O EN EL LIMITE),4.26,*    
1971-05-26,01021002-K,RIO GUALLATIRE EN GUALLATIRE,0.385,     
1994-09-29,01041001-0,RIO CARIQUIMA EN CARIQUIMA,0.06,     
1995-05-25,01041002-9,RIO ISLUGA EN BOCATOMA,0.409,     
1994-08-10,01044001-7,RIO CANCOSA EN EL TAMBO,0.163,     
1959-11-15,01050001-K,QUEBRADA PIGA EN OJOS DE AGUA,0.1,*    
1959-11-15,01050002-8,RIO PIGA EN COLLACAGUA,0.11,     
1980-09-24,01050003-6,RIO BATEA EN CONFLUENCIA,0.003,     
1981-02-11,01050004-4,RIO COLLACAGUA EN PEÑABLANCA,0.172,     
2010-12-25,01051001-5,VERTIENTE EL ERMITAÑO EN LAG.HUASCO,0.02,     
2017-07-11,01051002-3,VERTIENTE HUASCO NORTE LAG.HUASCO,0.028,     
1961-12-13,01201001-K,RIO COLPITAS EN ALCERRECA,0.585,*    
1961-12-13,01201002-8,RIO CARACARANI EN ALCERRECA,1.37,*    
1961-11-03,01201003-6,RIO LLUTA EN ALCERRECA,1.04,     
1973-08-15,01201005-2,RIO CARACARANI EN HUMAPALCA,0.726,     
1937-11-09,01202001-5,RIO LLUTA EN JAMIRAYA,1.75,     
1946-07-01,01210001-9,RIO LLUTA EN TOCONTASI,1.46,     
1940-03-01,01210002-7,RIO LLUTA EN EL MOLINO,1.38,     
1987-09-04,01210003-5,RIO LLUTA EN CHAPISCA,1.75,     
1985-01-01,01211001-4,RIO LLUTA EN PANAMERICANA,0.035,     
1979-01-09,01211002-2,RIO LLUTA EN PUENTE VIEJO KM 15,0.102,*    
1994-12-07,01300001-8,RIO TICNAMAR EN TICNAMAR,0.01,     
1995-09-12,01300002-6,RIO LACO EN COSAPILLA,0.538,     
2006-01-01,01300009-3,RIO TICNAMAR EN ANGOSTURA,0.028,     
1937-02-20,01310001-2,RIO SAN JOSE EN LIVILCAR,1.34,*    
1967-05-15,01310002-0,RIO SAN JOSE EN AUSIPAR,0.848,     
1975-05-15,01310003-9,RIO SAN JOSE ANTES BOCATOMA AZAPA,1.53,     
1963-04-10,01310004-7,ACUEDUCTO AZAPA EN BOCATOMA,0.456,     
1947-04-01,01310005-5,RIO SAN JOSE EN EL MOLINO,0.014,*    
1982-10-11,01410004-0,RIO CODPA EN CALA-CALA,0.03,     
1946-08-01,01410005-9,RIO CODPA EN OFRAGIA,0.046,*    
1946-07-01,01410006-7,RIO CODPA EN PALCA,0.077,     
1958-04-19,01502002-4,RIO CAMARONES EN CONANOXA,0.22,     
2005-12-12,01502008-3,RIO CAMARONES EN CHILPE,0.665,     
1962-06-24,01610001-3,QUEBRADA CAMIGNA EN UMIGNA,0.298,     
1978-10-30,01610002-1,QUEBRADA CAMIÑA EN ALTUSA,0.339,     
2006-10-03,01610004-8,Q. CAMIÑA 3 KM. A. ARRIBA DE TARCAVIRE,0.468,     
1928-09-19,01710001-7,QUEBRADA CAMIGNA EN PACAGUA,0.212,     
1928-09-11,01720001-1,RIO AROMA EN ALAGNUSCA,0.134,     
1977-12-08,01730001-6,RIO COSCAYA EN PAMPA LIRIMA,0.136,     
1984-12-10,01730002-4,RIO TARAPACA EN MINA SAN JUAN,0.315,     
1985-05-15,01730003-2,RIO COSCAYA EN SAITOCO,0.093,     
1931-04-01,01730004-0,QUEBRADA TARAPACA EN MULLI-MULLI,1.31,*    
1928-12-06,01730005-9,QUEBRADA TARAPACA EN PACHICA,0.0,*    
1928-08-22,01730006-7,QUEBRADA TARAPACA EN MOCHA,0.269,     
1928-08-25,01730007-5,Q. TARAPACA EN SIBAYA,0.145,     
1928-09-01,01730008-3,QUEBRADA TARAPACA EN PUCHURCA,0.36,     
1929-02-11,01730009-1,QUEBRADA AROMA EN PALCA,0.08,     
2003-03-01,01730012-1,Q. TARAPACA EN LAONSANA,0.155,     
1967-07-11,02101001-4,RIO LOA ANTES REPRESA LEQUENA,0.528,     
1967-12-28,02103001-5,"RIO SAN PEDRO EN PARSHALL N""1",0.746,     
1967-11-13,02103002-3,"RIO SAN PEDRO EN PARSHALL N""2 (BT. CHILEX)",0.805,*    
1979-10-04,02103003-1,RIO SAN PEDRO EN CAMINO INTERNACIONAL,0.169,     
1916-10-01,02103004-K,RIO SAN PEDRO EN SAN PEDRO,0.542,     
2001-02-22,02103014-7,RIO SILOLI ANTES B.T. FCAB,0.157,     
2009-01-02,02103018-K,RIO SAN PEDRO EN PARSHALL 2 (CODELCO),0.987,     
1916-10-01,02104001-0,RIO LOA EN CONCHI,1.98,     
1976-02-12,02104002-9,RIO LOA EN SALIDA EMBALSE CONCHI,0.99,     
1979-08-26,02104003-7,"RIO LOA EN ALCANTARILLA CONCHI N""2",1.1,     
1977-10-05,02104004-5,"RIO LOA EN ALCANTARILLA CONCHI N""1",1.47,*    
1916-10-03,02104005-3,RIO LOA ANTES JUNTA RIO SALADO,3.2,*    
2006-03-28,02104013-4,RIO LOA EN VADO SANTA BARBARA (DOH),0.434,     
1975-12-23,02105001-6,RIO SALADO A. J. CURTI,0.138,     
1975-03-23,02105002-4,RIO SALADO EN SIFON AYQUINA,1.19,     
1916-10-03,02105005-9,RIO SALADO A. J. LOA,3.2,*    
1982-11-25,02105007-5,RIO TOCONCE ANTES REPRESA SENDOS,0.43,     
1980-05-30,02105008-3,VERTIENTE TURI TURI,0.124,     
1964-03-13,02110001-3,RIO LOA EN ESCORIAL,1.77,     
1947-06-18,02110002-1,RIO LOA EN YALQUINCHA,7.26,     
1958-05-14,02110003-K,RIO LOA EN CHINTORASTE,1.67,     
1971-06-08,02110004-8,RIO LOA EN FINCA,1.72,     
1916-10-16,02110007-2,RIO LOA ANTES JUNTA SAN SALVADOR,0.284,*    
1916-10-01,02110008-0,RIO LOA DESPUES JUNTA RIO SALADO (CA),3.95,     
2012-10-01,02110031-5,RIO LOA EN ANGOSTURA,1.58,     
1915-12-15,02111002-7,RIO SAN SALVADOR ANTES JUNTA RIO LOA,0.648,     
1916-10-20,02112001-4,RIO LOA EN QUILLAGUA,1.43,     
1977-10-25,02112002-2,CANAL QUILLAGUA EN QUILLAGUA,0.337,     
1998-10-22,02112005-7,RIO LOA ANTES ZONA AGRICOLA QUILLAGUA,0.357,     
1915-12-16,02112006-5,RIO LOA D. J. SAN SALVADOR (CHACANCE),1.59,     
1993-03-31,02112007-3,RIO LOA D. J. SAN SALVADOR-(M. ELENA),0.283,     
1977-12-20,02113001-K,RIO HUATACONDO EN COPAQUIRE,0.03,     
1989-10-05,02120001-8,RIO LOA EN DESEMBOCADURA,0.303,     
1971-01-01,02500001-3,RIO VILAMA EN VILAMA,0.203,*    
1977-01-01,02500002-1,CANAL AGUAS BLANCAS,0.098,*    
1977-05-27,02500003-K,CANAL TULAN EN TILOMONTE,0.006,*    
1976-04-08,02500004-8,CANAL VILAMA EN VILAMA,0.212,     
1989-11-03,02500005-6,CANAL CUNO EN SOCAIRE,0.14,     
1997-04-24,02500006-4,CANAL TILOMONTE ANTES REPRESA,0.025,     
1947-06-23,02510001-8,RIO SAN PEDRO EN CUCHABRACHI,1.23,     
1986-06-17,03022001-3,RIO LA OLA EN VERTEDERO,0.668,     
1979-04-24,03041001-7,RIO BARROS NEGROS ANTES JUNTA VALLE ANCHO,0.045,     
1979-06-07,03041002-5,RIO VILLALOBOS EN VERTEDERO,0.08,     
1979-04-24,03041003-3,RIO VALLE ANCHO ANTES  JUNTA BARROS NEGROS,0.071,     
1979-04-24,03041004-1,RIO VALLE ANCHO EN LA BARRERA,0.021,     
1980-02-21,03041005-K,RIO LAMAS EN EL SALTO,0.221,*    
1979-12-16,03050001-6,RIO ASTABURUAGA EN CONO,0.012,*    
1949-02-08,03404001-K,RIO JORQUERA EN VERTEDERO,1.4,     
1964-02-04,03414001-4,RIO PULIDO EN VERTEDERO,1.86,*    
1964-02-04,03421001-2,RIO MANFLAS EN VERTEDERO,0.262,*    
1985-07-01,03421002-0,RIO MANFLAS ANTE JUNTA CON RIO COPIAPO,1.02,*    
1931-09-24,03430001-1,RIO COPIAPO EN LAUTARO,4.33,*    
1927-10-18,03430002-K,RIO COPIAPO EN SAN ANTONIO,2.96,     
1927-10-15,03430003-8,RIO COPIAPO EN PASTILLO,3.06,     
1927-10-19,03431001-7,RIO COPIAPO EN LA PUERTA,2.87,     
1918-12-01,03431002-5,RIO COPIAPO EN EL BOSQUE,0.792,     
1927-10-28,03431003-3,RIO COPIAPO EN PABELLON,0.434,     
1929-07-30,03434001-3,RIO COPIAPO EN MAL PASO AGUAS ARRIBA CANAL,1.92,     
1988-09-16,03434002-1,CANAL MAL PASO DESPUES DE BOCATOMA,0.2,*    
1988-08-26,03434003-K,RIO COPIAPO EN MAL PASO AGUAS ABAJO CANAL,6.37,     
1983-01-02,03450001-0,RIO COPIAPO EN CIUDAD DE COPIAPO,0.08,     
1963-04-29,03453001-7,RIO COPIAPO EN ANGOSTURA,0.105,     
1984-10-26,03802001-3,RIO CONAY EN LAS LOZAS,13.0,     
1928-02-01,03802002-1,RIO CONAY EN JUNTA LAGUNA GRANDE,2.26,     
1928-02-16,03802003-K,RIO HUASCO ANTES JUNTA RIO CHOLAI-CONAY,2.43,     
1958-11-01,03804001-4,RIO TRANSITO EN LOS TAMBOS,1.77,*    
1964-12-07,03804002-2,RIO TRANSITO EN ANGOSTURA PINTE,0.257,*    
1927-10-09,03804003-0,RIO HUASCO EN CHANCHOQUIN,0.706,     
1929-11-11,03804004-9,RIO TRANSITO EN EL TRANSITO,4.82,     
1927-10-11,03806001-5,RIO TRANSITO ANTES JUNTA RIO CARMEN,2.47,*    
1929-11-28,03814001-9,RIO CARMEN EN SAN FELIX,4.83,     
1928-10-05,03814002-7,RIO CARMEN EN EL COLORADO,2.08,     
1991-10-11,03814003-5,RIO CARMEN EN EL CORRAL,1.64,     
1918-11-01,03815001-4,RIO CARMEN EN RAMADILLAS,0.83,     
1988-09-26,03815002-2,RIO CARMEN EN PTE. LA MAJADA,4.06,     
1975-07-18,03820001-1,RIO HUASCO EN ALGODONES,2.21,     
2001-06-07,03820002-K,RIO HUASCO EN CHEPICA,5.0,     
1928-02-01,03820003-8,RIO HUASCO EN SANTA JUANA,7.09,     
1971-10-11,03825001-9,RIO HUASCO EN PUENTE NICOLASA,0.39,     
1987-08-21,03826001-4,RIO HUASCO EN HUASCO BAJO,15.1,     
1946-08-16,04110001-K,RIO ELQUI EN MOLLE,3.45,<    
1928-11-16,04301002-6,RIO LA LAGUNA EN SALIDA EMBALSE LA LAGUNA,3.7,     
1928-04-09,04301003-4,RIO LA LAGUNA EN NUEVA ELQUI,3.21,     
1985-06-05,04302001-3,RIO TORO ANTES JUNTA RIO LA LAGUNA,0.5,     
2002-05-01,04302003-K,DREN G TRANQUE EL INDIO (2-D DRENES),0.06,>    
1946-08-12,04304001-4,RIO INGAGUAS EN LAS TERNERAS,0.654,     
1946-08-12,04305001-K,RIO TURBIO EN LAS TERNERAS,1.93,     
1928-11-01,04306001-5,RIO TURBIO EN HUANTA,9.57,     
1914-04-01,04308001-6,RIO TURBIO EN VARILLAR,8.5,     
1983-11-03,04311001-2,ESTERO DERECHO EN ALCOHUAZ,3.22,     
1983-08-11,04313001-3,RIO COCHIGUAZ EN EL PEÑON,3.0,     
1947-01-24,04314001-9,RIO CLARO EN MONTEGRANDE,0.718,     
1914-03-16,04314002-7,RIO CLARO EN RIVADAVIA,9.25,     
1916-09-01,04320001-1,RIO ELQUI EN ALGARROBAL,9.72,     
1918-05-25,04323001-8,RIO ELQUI EN ALMENDRAL,12.1,     
1963-01-08,04323002-6,RIO ELQUI EN PUCLARO,3.94,     
1946-08-01,04323003-4,RIO ELQUI EN GUALLIGUAICA,4.19,     
1952-07-13,04331001-1,RIO ELQUI EN PUNTA DE PIEDRA,3.77,     
1985-01-18,04335001-3,RIO ELQUI EN LA SERENA,34.0,     
1986-03-01,04400001-6,ESTERO CULEBRON EN EL SIFON,0.353,*    
1962-12-17,04501001-5,RIO HURTADO EN SAN AGUSTIN,1.3,     
1928-06-10,04501002-3,RIO HURTADO EN LAS BREAS,3.67,     
1968-02-16,04502001-0,RIO HURTADO EN LA CORTADERA,0.073,     
1928-06-01,04502002-9,RIO HURTADO EN HURTADO,2.53,     
1918-09-01,04503001-6,RIO HURTADO EN ANGOSTURA DE PANGUE,7.31,     
1928-05-26,04506002-0,RIO HURTADO EN ENTRADA EMBALSE RECOLETA,6.55,     
1970-02-11,04506003-9,CANAL TUQUI EN SALIDA EMBALSE RECOLETA,0.047,*    
1959-08-13,04506004-7,CANAL ALIMENTADOR RECOLETA ENTRADA EMBALSE,0.108,*    
1959-07-01,04506005-5,CANAL ALIMENTADOR RECOLETA EN BOCATOMA,4.83,     
1942-05-08,04511001-K,RIO GRANDE EN LAS PEGAS,2.88,     
1961-05-18,04511002-8,RIO GRANDE EN LAS RAMADAS,1.33,     
1962-10-23,04512001-5,RIO TASCADERO EN DESEMBOCADURA,0.215,     
1959-05-05,04513001-0,RIO GRANDE EN CUYANO,1.98,     
1969-10-03,04514001-6,RIO MOSTAZAL EN CUESTECITA,0.151,     
1959-05-01,04515001-1,RIO MOSTAZAL ANTES JUNTA RIO TULAHUENCITO,0.235,     
1972-07-24,04515002-K,RIO MOSTAZAL EN CAREN,1.59,     
1942-12-01,04516001-7,RIO GRANDE EN COIPO,25.5,     
1959-12-01,04516002-5,CANAL PALQUI EN SEMITA,0.562,     
1918-08-01,04516003-3,RIO GRANDE EN ZEMITA,0.652,*    
1970-05-22,04520001-9,RIO LOS MOLLES EN OJOS DE AGUA,0.016,     
1970-07-24,04520002-7,CANAL CENTRAL LOS MOLLES EN CAMARA DGA,0.272,     
1970-08-01,04520003-5,RIO LOS MOLLES EN BOCATOMA,0.238,     
1941-10-02,04520004-3,RIO RAPEL EN LOS MOLLES,2.88,     
1941-10-02,04522001-K,RIO RAPEL EN PALOMA,1.54,     
1959-04-01,04522002-8,RIO RAPEL EN JUNTA,0.009,     
1946-09-15,04523001-5,RIO GRANDE EN AGUA CHICA,0.226,*    
1942-03-01,04523002-3,RIO GRANDE EN PUNTILLA SAN JUAN,14.9,     
1971-09-14,04530001-3,RIO COGOTI EN FRAGUITA,0.432,     
1942-01-01,04531001-9,RIO COGOTI EN COGOTI 18,25.1,*    
1953-01-10,04531002-7,RIO COGOTI ENTRADA EMBALSE COGOTI,0.176,     
1975-12-27,04532001-4,RIO COMBARBALA EN RAMADILLAS,0.258,     
1927-05-07,04532002-2,RIO COMBARBALA EN COMBARBALA,0.597,     
1927-05-06,04533001-K,QUEBRADA PANA EN FONDITOS,0.268,     
1987-10-27,04533002-8,RIO PAMA EN VALLE HERMOSO,2.29,*    
1953-01-13,04534001-5,RIO PAMA ENTRADA EMBALSE COGOTI,0.017,     
1960-05-05,04535002-9,RIO GUATULAME EN SALIDA EMBALSE COGOTI,1.1,     
1981-01-06,04535003-7,CANAL MATRIZ COGOTI EN BOCATOMA,5.76,*    
1927-06-01,04535004-5,RIO GUATULAME EN SAN MARCOS,51.7,*    
1963-07-01,04537001-1,RIO GUATULAME EN EL TOME,0.31,     
1927-06-01,04537002-K,RIO GUATULAME EN HUANILLA,6.44,*    
1927-06-01,04540001-8,RIO GRANDE EN PALOMA 1,15.5,     
1946-10-03,04540002-6,RIO GUATULAME EN DESEMBOCADURA EMBALSE LA PALOMA,0.634,     
1958-10-02,04540003-4,CANAL CAMARICO AGUAS ABAJO COMPUERTAS,1.08,     
1916-08-01,04550001-2,RIO LIMARI EN PUNTILLA DE OVALLE,6.63,     
1941-10-23,04550003-9,RIO LIMARI EN PEÑONES BAJOS,104.0,*    
1968-08-01,04556001-5,ESTERO PUNITAQUI EN CHALINGA,0.101,     
1962-10-16,04557002-9,ESTERO PUNITAQUI ANTES JUNTA RIO LIMARI,0.2,     
1958-10-01,04558001-6,RIO LIMARI EN PANAMERICANA,0.056,     
1950-02-15,04700001-7,ESTERO EL SOLDADO EN LAGUNA EL PELADO,0.466,     
1965-12-07,04703001-3,RIO CHOAPA SOBRE EL RIO VALLE,51.1,*    
1965-10-14,04703002-1,RIO CHOAPA EN CUNCUMEN,26.2,     
2001-08-10,04704001-9,RIO CUNCUMEN ANTES JUNTA CHOAPA (CHACAY),0.816,     
1965-10-15,04704002-7,RIO CUNCUMEN ANTES BOCATOMA DE CANALES,3.33,     
1931-06-01,04711001-7,RIO CHOAPA EN SALAMANCA,7.01,     
1985-09-03,04711002-5,CANAL CARACHA EN BOCATOMA,0.284,*    
1991-10-29,04712001-2,RIO CHALINGA EN LA PALMILLA,1.05,     
1928-11-10,04713001-8,RIO CHALINGA EN SAN AGUSTIN,1.22,     
1929-11-01,04713002-6,RIO CHALINGA EN POTRERO MAITENES,0.928,     
1928-11-14,04713003-4,RIO CHALINGA EN CHALINGA,0.962,*    
1965-01-22,04714001-3,ESTERO CAMISAS EN DESEMBOCADURA,0.971,     
1958-12-03,04716001-4,RIO CHOAPA EN LAMAHUIDA,4.8,     
1946-09-24,04716002-2,RIO CHOAPA EN PUENTE FF.CC.,1.63,     
1962-03-01,04716003-0,CANAL TAMELCURA,0.459,*    
1918-01-24,04716004-9,RIO CHOAPA EN PUENTE NEGRO,3.46,     
1962-03-04,04721001-1,RIO ILLAPEL EN LAS BURRAS,1.25,     
1927-05-17,04723001-2,RIO ILLAPEL EN HUINTIL,3.32,     
1983-05-01,04726001-9,RIO ILLAPEL EN EL PERAL,2.45,     
1928-09-01,04726002-7,RIO ILLAPEL EN SANTA CRUZ,3.92,     
1961-12-26,04730001-0,RIO CHOAPA AGUAS ARRIBA ESTERO LA CANELA,22.7,     
1989-10-04,04810001-5,ESTERO PUPIO EN EL ROMERO,0.067,     
2011-09-13,04810005-8,ESTERO PUPIO ANTES QUEBRADA LLAU-LLAU,0.03,*    
2015-03-27,04810006-6,QUEBRADA LLAU-LLAU,0.0,<    
1928-07-03,04900001-4,RIO QUILIMARI EN CHIVATO,0.844,*    
1964-11-19,04901001-K,RIO QUILIMARI EN LOS CONDORES,0.015,     
1929-03-01,04902001-5,RIO QUILIMARI EN RETAMA,0.05,*    
1928-08-06,05100001-3,RIO SOBRANTE EN PIÑADERO,1.43,*    
1962-12-22,05101001-9,RIO PEDERNAL EN TEJADA,0.058,     
1974-06-28,05101002-7,RIO CHALACO EN EMBALSE,0.712,     
1928-08-09,05110001-8,RIO PETORCA EN PETORCA,2.99,     
1979-05-05,05110002-6,RIO PETORCA EN PEÑON O HIERRO VIEJO,0.37,     
1974-06-08,05111003-K,ESTERO LAS PALMAS EN PALQUICO,0.0,<    
1979-05-07,05120001-2,RIO PETORCA EN LONGOTOMA O PUENTE FF,0.218,     
1963-11-30,05200001-7,RIO ALICAHUE EN COLLIGUAY,3.91,     
1925-01-01,05220002-4,RIO LIGUA EN CABILDO,0.15,*    
1964-04-01,05221001-1,RIO LIGUA EN PLACILLA,0.597,     
1979-05-05,05221002-K,RIO LIGUA EN QUINQUIMO,0.44,     
1996-09-09,05320001-K,ESTERO QUINTERO EN VALLE ALEGRE,0.011,     
1913-02-17,05400002-2,RIO JUNCALILLO EN CALAVERAS,0.511,*    
1914-01-16,05401002-8,RIO JUNCAL ANTE JUNTA RIO BLANCO,14.6,     
1913-02-15,05401003-6,RIO JUNCAL EN JUNCAL,9.35,     
1914-01-16,05402001-5,RIO BLANCO EN RIO BLANCO,33.8,     
1984-06-12,05402002-3,CANAL CHACABUCO EN BOCATOMA,0.19,*    
2015-08-27,05402015-5,RIO BLANCO ANTES JUNTA RIO DE LOS LEONES,0.819,     
1970-04-02,05403002-9,RIO ACONCAGUA EN RIO BLANCO,10.6,     
1965-01-30,05403003-7,RIO ACONCAGUA EN LOS QUILOS,14.5,     
2014-04-30,05404001-6,CANAL COLORADO EN BOCATOMA,1.8,     
1929-07-01,05405001-1,RIO LOS RIECILLOS ANTES JUNTA RIO COLORADO,1.29,     
1964-11-01,05406001-7,RIO COLORADO EN COLORADO,3.97,     
1914-05-21,05406002-5,RIO COLORADO ANTES JUNTA RIO ACONCAGUA,2.6,     
1913-10-01,05410001-9,RIO ACONCAGUA EN VIZCACHAS,12.2,     
1936-09-02,05410002-7,RIO ACONCAGUA EN CHACABUQUITO,24.5,     
1962-07-20,05410003-5,CANAL PARRY 2 DESPUES BT ACONCAGUA,3.93,     
1918-11-01,05410005-1,RIO ACONCAGUA EN SAN FELIPE,0.2,<    
2019-11-22,05410024-8,RIO ACONCAGUA EN SAN FELIPE 2,0.01,<    
1930-12-19,05411001-4,ESTERO POCURO EN EL SIFON,2.13,     
1929-11-01,05411002-2,ESTERO POCURO ANTES JUNTA RIO ACONCAGUA,9.0,     
1939-09-01,05414001-0,RIO PUTAENDO EN RESGUARDO LOS PATOS,2.9,     
1962-07-12,05415001-6,ESTERO QUILPUE ANTES JUNTA RIO ACONCAGUA,3.31,     
1929-10-27,05415002-4,ESTERO HUALTATAS EN DESEMBOCADURA,1.47,     
1985-01-22,05420001-3,ESTERO DE LOS CAMPOS EN LAS COMPUERTAS,1.96,     
1962-07-12,05420002-1,ESTERO DE LOS CAMPOS EN ANTES JUNTA RIO ACONCAGUA,3.56,     
1946-08-21,05420004-8,RIO ACONCAGUA EN PANQUEHUE (CA),5.79,     
2019-11-28,05420005-6,ESTERO LO CAMPO EN LO CAMPO (CA),0.151,*    
1962-07-21,05421001-9,ESTERO CATEMU ANTES JUNTA RIO ACONCAGUA,1.77,     
1985-11-01,05421002-7,ESTERO CATEMU EN PUENTE SANTA ROSA,1.34,     
1920-08-24,05421003-5,RIO ACONCAGUA EN CHAGRES,58.8,*    
1962-07-01,05422001-4,ESTERO LAS VEGAS EN DESEMBOCADURA,8.4,     
1962-08-28,05423001-K,CANAL LAS VEGAS EN BOCATOMA,0.754,     
1972-07-01,05423002-8,ESTERO LAS VEGAS AGUAS ABAJO CANAL LAS VEGAS,3.61,*    
1959-07-08,05423003-6,RIO ACONCAGUA EN ROMERAL,34.4,     
1962-07-20,05423004-4,ESTERO ROMERAL ANTES JUNTA RIO ACONCAGUA,1.17,     
1962-07-01,05423005-2,RIO ACONCAGUA EN PANAMERICANA,19.9,*    
